French,Type,Abenaki,Meta,Source,AlternativeSource,Infinitive
Roue,NA,Wak8likws,,"Wz8khilain, 1830, p.56",,
Patin à roues,NI,Wak8likwsil8gemapozow8gan,,Philippe Charland,http://westernabenaki.com/domesticanimalstalk1.mp3,
Skateboard,NI,Wak8likwsipsigaskw,,Philippe Charland,,
Quelques années qui passent,VII,Wakasigaden,,"Day, 1994, p.470",,
Quelques-uns,NI,Wakasnol,,"Wz8khilain, 1830, p.56",,
Quelque (A),,Wakasoak,,"A. Obomsawin, ???","Nolett-Ille, 1996, p.15",
Quelques-uns,NA,Wakaswak,,"Wz8khilain, 1830, p.56",,
Escargot,NA,Wakw8des,,"Day, 1994, p.471",,
Hier soir,,Wal8gwiga,,"Laurent, 1884, p.105",,
"Nom commun pour petit hibou, nom spécifique de la petite nyctale.",NA,Wal8ias,Nom;Animal;Oiseau,"Laurent, 1884, p.37",,
Écorce brute,NI,Walagaskw,,"Wz8khilain, 1830, p.47",,
Assez,Adv,Wami,,"Laurent, 1884, p.87",,
Le fils (Celui qui a un père),VTA;Participe,Wamit8gwsit,,"Laurent, 1884, p.13",,
Fou,NA,Wan8daminat,,"Wz8khilain, 1830, p.19",,
La rage ou la folie,NI,Wan8daminaw8gan,,"Laurent, 1884, p.24",,
Le père (Celui qui a un fils),VTA;Participe,Wanam8nit,Religion,"Laurent, 1884, p.13",,
Quelqu'un perd quelqu'un ou quelquechose (A),VTA isc,Wanial8mek,,"Laurent, 1884, p.191","Nolett-Ille, 1996, p.10",
Feuille,NI,Wanibagw,Nom;Plante,"Nolett-Ille, 1996, p. 19",,
Peuplier faux tremble,NA,Wasagakw,Nom;Plante;Arbre,"Nolett-Ille, 1996, p.37",,
"Une torche, une lanterne, une lampe de poche",NI,Wasakwlhanigan,Nom;Objet,"Day, 1994, p.480",,
Chandelle,NI,Wasanm8gan,Nom;Objet,"Wz8khilain, 1832, p.61",,
"Aurore boréal; littéralement ""il chandelle""",VII;3;s;présent,Wasanm8ganihla,,"Day, 1994, p.480",,
La chandeleur; fête païenne et chrétienne.,VAI isc,Wasanm8mek,Nom,"Laurent, 1884, p.56",,
Citrouille,NI,Wasawa,Nom;Plante;Légume,"Wz8khilain, 1830, p.56",,
Orange,NI,Wasawas,Nom;Plante;Fruit,"Laurent, 1884, p.31",,
C'est orange,VTI,Wasawasigen,,"Source (Charland, O'Bomsawin, O'Bomsawin, 2021, p. 13)",,
Doré,NA,Watagwa,,???,,
Sagesse,NI,Waw8damw8gan,,"Wz8khilain, 1830, p.87",,
"Un sage, une personne intelligente",NA,Waw8damwinno,,"Wz8khilain, 1830, p.32",,
Ce qui raconte des nouvelles. Téléphone.,VTI;Participe,Waw8jemoïk,Verbe,"Day, 1994, p.485",,
Peuplier deltoide,NA,Wawabibakw,Nom;Plante;Arbre,"Laurent, 1884, p.31",,
Traîneau,NI,Wawabig8dhigan,Nom;Objet,"Nolett-Ille, 1996, p.49",,
Sacré,,Wawasi,,"Wz8khilain, 1830, p.56",La grande jaune,
La bible,,Wawasi Awighigan,,"Laurent, 1884, p.66","Laurent, 1884, p.17",
Évangéliste,NA,Wawasi kigamowinno,Nom;Personne,"Laurent, 1884, p.14",,
Un saint,NA,Wawasinno,Nom;Personne,"Laurent, 1884, p.14",,
Puits,NA,Wawdazib8m,Nom,"Laurent, 1884, p.15",,
Eau de puits,NI,Wawdazib8minebi,Nom,"Laurent, 1884, p.15",,
Connaissance,NI,Wawidah8zw8gan,,"Day, 1994, p. 483",,
Abeille,NA,Wawil8mwa,Nom;Animal;Insect,"Nolett-Ille, 1996, p.1",,
Carotte,NA,Wawiz8wagwezid,Nom;Plante;Légume,"Day, 1994, p.484",,
Neige,NA,Waz8li,,"Wz8khilain , 1830, p. 56",,
Quelquechose (I) est mince.,VII;3;s;présent,Wazaba,,,,
Ce (I) qui est mince.,Adj,Wazabak,,"Laurent, 1884, p.68",,
Mince,Particule,Wazabi,,"Laurent, 1884, p.65",,
Ce (A) qui est mince.,Adj,Wazabizit,,"Laurent, 1884, p.68",,
Toujours (tout le temps),Particule,Waïji,,"Masta, 1932, p.17",,
Toujours (tout le temps),Adv,Waïjiwi,Adverbe,"Masta, 1932, p.17",,
Tendon,I ?,Wchat,,"Wz8khilain, 1830, p.44",,
Nerveux,,Wchatoo,,"Wz8khilain, 1830, p.49",,
Il va,VAI,Wd'alosa,,"Nolett-Ille, 1996, p.1",,
Ils vont,VAI,Wd'alosak,,"Nolett-Ille, 1996, p.1",,
Ils utilisent quelquechose (I) d'indéfini.,VTIi,Wd'awakatoak,,"Laurent, 1884, p.72",,
Il utilise quelquechose (I) de défini.,VTId,Wd'awakaton,,"Laurent, 1884, p.72",,
Ils utilisent quelquechose (I) de défini.,VTId,Wd'awakaton8,,"Laurent, 1884, p.72",,
Ottawa (le peuple),,Wd8w8,,"Wz8khilain, 1830, p.49",,
Un autochtone Ottawa,NA,Wd8w8,,"Wz8khilain, 1830, p.48","Nolett-Ille, 1996, p.47",
"Luge, toboggan",NA,Wdab8gan,,"Nolett-Ille, 1996, p.28",,
C’est humide,VII;3;s;présent,Wdagikizgat,,"Laurent, 1884, p.17",,
C’est une température humide,VII;3;s;présent,Wdagkizgat,Verbe,"Laurent, 1884, p.15",,
Pagaie,NA,Wdah8gan,,"Wz8khilain, 1830, p. 55","Nolett-Ille, 1996, p.38",
"Remord, regret",TI,Wdaldamw8gan,,"Aubéry-Laurent, 1995, p.441",,
Tabac,NA,Wdam8,,"Wz8khilain, 1830, p.47",,
Libellule,NA,Wdam8gan,,"Nolett-Ille, 1996, p.27",,
Pipe,NA,Wdam8gan,,"Rasles, 1831, p.402","Wz8khilain, 1830, p.55",
Tige de pipe,NI,Wdam8ganakwam,Nom;Objet;Vêtement,"Day, 1994, p.413",,
C'est brun,VTI,Wdam8gen,,"Source (Charland, O'Bomsawin, O'Bomsawin, 2021, p. 13)",,
Licorne,NA,Wdaskan8t,,Masta,,
Pagaie,NA,Wdaw8gan,,"Nolett-Ille, ???, p.162",,
Un apôtre,NA,Wdawasgiskwit,Nom;Personne,"Laurent, 1884, p.14",,
Épaule,NA,Wdeli,,"Wz8khilain, 1830, p.48",,
Prend quelquechose (A),VTA,Wdena,,"Laurent, 1884, p.108",,
Prend quelquechose (I).,VTI;2;s;Impératif,Wdena,,"Laurent, 1884, p.108","Nolett-Ille, 1996, p.3",
Bandeau,NI,Wdep8bi,,"Nolett-Ille, 1996, p.5",,
Cheveu,NI,Wdepkwan,,"Wz8khilain, 1830, p.49",,
Gésier,,Wdezi,,"Wz8khilain, 1830, p.47",,
Aulne,NA,Wdopi,Nom;Plante;Arbre,"Wz8khilain, 1830, p.47",,
Mal d’estomac ou mal de ventre,NI,Wesagagzaw8gan,,"Laurent, 1884, p.24",,
Un rhume,NI,Wesgwinaw8gan;Wesgoin8gan,,"Laurent, 1884, p.24",,
Moutarde,VII;3;s;présent,Whawiz8wjagak,Nom,"Laurent, 1884, p.28",,
Le bonheur,NI,Wiag8wzow8gan,,"Wz8khilain, 1830, p.66",,
Sac à dos,NI,Wiazon,Nom;Objet;Vêtement,"Day, 1994, p.489",,
Beige/Gris/Drabe,,Wibgwigen,,"Laurent, 1884, p.46",,
Seulement,,Wibiwi,,"Laurent, 1884, p.112",,
Plat-bord,NA,Wibod8gan,Nom;Objet,"Day, 1994, p.490",,
Ami (Son),NA,Wid8baa,,,,
Ami (Leur ami),NA,Wid8baw8,,,,
S'il vous plait.,VAI,Wig8damana,,"Day, 1994, p.492",,
Jour de célébration,NI,Wig8damikizgat,Nom,Nolett-Ille,,
Volontairement,Adv,Wig8damiwi,,"Laurent, 1884, p.87",,
Appetit (l'),NI,Wigapow8gan,,"Nolett-Ille, 1996, p.2",,
Souvent,Adv,Wigaw8jiwi,,"Day, 1994, p.491",,
Écorce filandreuse ou éclisse,NI,Wigbi,,"Wz8khilain, 1830, p.48",,
Tilleul,NA,Wigbimezi,,"Nolett-Ille, 1996, p.48","Nolett-Ille, 1996, p.29",
Tilleul,NA,Wigbimizi,Nom;Plante;Arbre,"Laurent, 1884, p.32",,
Alcoolique,NA,Wigesmowinno,,"Nolett-Ille, 1996, p.1","Laurent, 1884, p.61",
Aimer… (faire une action),Préverbe,Wigi,,"Laurent, 1884, p.117",,
Campement,NI,Wigodi,Nom;Lieu,"Day, 1994, p.492",,
Maison,NI,Wigw8m,Nom;Lieu,"Wz8khilain, 1830, p.48",,
Cygnes,NA,Wigwahla,,"Wz8khilain, 1830, p.56",,
Canot d'écorce,NI,Wigwaol,,"Wz8khilain, 1830, p.56",,
Le saint esprit,VAI;Participe,Wiji-Wliniwaskwit,,"Laurent, 1884, p.13",,
"Graisse, non-fondue",NI,Wika,,"Aubéry-Laurent, 1995, p.284","Nolett-Ille, 1996, p.31",
Il est gras,VAI;3;s;présent,Wikao,,"Laurent, 1884, p.117",,
Lynx roux,NA,Wikwti,,"Day, 1994, p.497",,
Langue (l'organe),NI,Wilalo,,"Wz8khilain, 1830, p.56","Masta, 1932, p. 55",
Moelle,NI,Win,,"Wz8khilain, 1830, p.44",,
Oignon,NA,Winos,,"Nolett-Ille, 1996, p.34",,
Échalotte,NA,Winosis,,"Nolett-Ille, 1996, p.34",,
Oignon,NA,Winoz,,"Wz8khilain, 1830, p.48",,
Bouleau flexible (merisier rouge),NA,Wins,,"Wz8khilain, 1830, p.44",,
Viande,NI,Wios,,"Laurent, 1884, p.12",,
Chardonneret,NA,Wis8wihlasis,Nom;Animal;Oiseau,"Laurent, 1884, p.37",,
Détroit,NI,Wisaw8gama,Nom,"Laurent, 1884, p.15",,
Enveloppe,NI,Wisigwakhigan,,"Laurent, 1884, p.61",,
Il rapporte une nouvelle.,VAI,Witamasi,,"Day, 1994, p.498",,
Dire à quelqu'un pour qu'il apprenne,VTA,Witamawa,,"Day, 1994, p.498",,
Dit-moi quelquechose pour que j'apprenne,VTA,Witamawi,,,"Nolett-Ille, 1996, p.34",
Autour/Alentour,Adv,Wiwniwi,,"Laurent, 1884, p.89","Nolett-Ille, 1996, p.5",
"Coptis groenlandica, Savoyane",NI,Wiz8wajapkasis,Nom;Plante,"Day, 1994, p.502",,
C'est jaune,VII,Wiz8wigen,,"Laurent, 1884, p.45",,
Serin,NA,Wiz8wilhasis,Nom;Animal;Oiseau,???,,
Or,NA,Wiz8wim8ni,,"Wz8khilain, 1830, p.66",,
Beurre,NA,Wiz8wipemi,,"Laurent, 1884, p.30",,
Poisson scie,NA,Wj8jgahon,Nom;Animal;Poisson,"Wz8khilain, 1830, p.56",,
Nez,NID,Wj8l,,"Wz8khilain, 1830, p.48",,
Mouche,NA,Wjawas,,"Nolett-Ille, 1996, p.32","Nolett-Ille, 1996, p.13",
Depuis,Préposition,Wji,,"Laurent, 1884, p.88",,
Pour,Préposition,Wji,,"Laurent, 1884, p.88",,
Selon que,Conjonction,Wji,,"Laurent, 1884, p.90",,
"Parce que, Tandis que, Comme",Conjonction,Wji ali,,"Laurent, 1884, p.89",,
De crainte que,Conjonction,Wji ali nsat8zik,,"Laurent, 1884, p.90",,
De peur que,Conjonction,Wji alinsat8zik,,"Laurent, 1884, p.90",,
Est,,Wji nahil8t,,"Day, 1994, p.46",,
Convulsions,NI,Wjibilwas,,"Laurent, 1884, p.24",,
Ça arrive à cause de quelquechose.,VII,Wjidbihla,,"Day, 1994, p.397",,
Camp abandonné,I?,Wjig8n,,"Wz8khilain, 1830, p.49",,
Appartient à,,Wjiia,,"Wz8khilain, 1830, p.48","Nolett-Ille, 1996, p.48",
Selon que,Conjonction,Wjiji,,"Laurent, 1884, p.90",,
Tuyau de poele,NI,Wkwed8gan,Nom;Maison,Philippe Charland,,
Il fait chaud,,Wl8da,,"Laurent, 1884, p.15",,
Il fait doux,,Wl8da,,"Wz8khilain, 1830, p.49",,
Bol,NA,Wl8gan,Nom;Objet,"Laurent, 1884, p.28",,
Ustensiles,VII;3;p;présent,Wl8ganin8kwkil,Nom;Objet,"Laurent, 1884, p.28","Nollett-Ille, 1996, p.43",
Le soir,NI,Wl8gw,,"Nolett-Ille, 1996, p.46",,
Hier,VII;3;s;présent,Wl8gwa,,"Laurent, 1884, p.20",,
Grive Solitaire,NA,Wl8gwilhas,Nom;Animal;Oiseau,"Laurent, 1884, p.38",,
Durant la soirée,Adv,Wl8gwiwi,,"Nolett-Ille, 1996, p.46","Laurent, 1884, p.65",
Évangile,NI,Wl8jmow8gan,Nom,,,
Quelqu’un a raison,VAI isc,Wl8mamek,,,,
Raison,NI,Wl8maw8gan,,"Wz8khilain, 1830, p.62",,
"Croyance, foi,Imaginaton",NI,Wl8mawaldamw8gan,,"Day, 1994, p.409",,
Une plage de sable,VII;3;s;présent,Wl8mkilha,Verbe,"Day, 1994, p.409",,
Cocotte (cone de conifère),NI,Wl8mpskw,Nom;Plante;Fruit,"Day, 1994, p.409",,
C'est bleu,VII,Wl8wigen,Verbe,"Laurent, 1884, p.44",,
Politesse (la),NI,Wlakamigwzow8gan,Nom,"Nolett-Ille, 1996, p.38",,
Porte-Bonheur,NI,Wlalmegwahigan,Nom;Objet,"Nolett-Ille, 1996, p.39","Laurent, 1884, p.36",
Chance (la),NI,Wlalmegwzow8gan,Nom,"Laurent, 1884, p.116",,
La romaine,,Wlaman,,,"Nolett-Ille, 1996, p.6",
C'est vermillon,VII;3;s;présent,Wlamanigen,Verbe;Couleur,,,
Pékan,NA,Wlanikw,Nom;Animal;Mammifère,"Wz8khilain, 1830, p.49",,
"Astuce,Ruse",NI,Wlatagzow8gan,Nom,"Day, 1994, p.401",,
C’est calme,VII;3;s;présent,Wlawiben,Verbe,"Laurent, 1884, p.114",,
Aile,NA,Wlegwan,,"Wz8khilain, 1830, p.48",,
Il y a un bon vent,VII;3;s;présent,Wlel8msen,Verbe,"Laurent, 1884, p.15",,
"Bon, doux",Adj,Wli,,"Wz8khilain, 1830, p.44",,
Belle journée,,Wli kizgat,,,,
Fabrique quelquechose (I),VTA;2;s;Impératif,Wlia,,"Laurent, 1884, p.194",,
Savoir-vivre(le),NI,Wlidbakamigwzow8gan,Nom,"Nolett-Ille, 1996, p.45",,
Ce qui (I) est bien,Adj,Wligek,,"Laurent, 1884, p.70",,
"Quelquechose (I) est bon, beau",VII,Wligen,Verbe,"Wz8khilain, 1830, p.48",,
Celui (A) qui est bien,Adj,Wligit,,"Laurent, 1884, p.70",,
"Il est beau, bien",VAI,Wligo,Verbe,"Laurent, 1884, p.66",,
"La beauté, la bonté",NI,Wligow8gan,Nom,"Laurent, 1884, p.24",,
Quelqu'un fait quelquechose (A),VTA isc,Wlih8mek,Verbe,"Laurent, 1884, p.194",,
Fais quelquechose (A),VTA;2;s;Impératif,Wliha,Verbe,"Laurent, 1884, p.194",,
Faites quelquechose (A),VTA;2;p;impératif,Wlihokw,Verbe,"Laurent, 1884, p.194",,
Il fait une belle température,VII,Wlikizgat,Verbe,"Day, 1994, p.401",,
C’est de la bonne nourriture,VII;3;s;présent,Wlipogwat,Verbe,"Day, 1994, p.406",,
Quelqu'un fait quelquechose (I),VTI isc,Wlit8zik,Verbe,"Laurent, 1884, p.194",,
Fais quelquechose (I),VTI;2;s;Impératif,Wlito,Verbe,"Laurent, 1884, p.194",,
Ils fabriquent quelquechose (I),VTI,Wlitoak,Verbe,"Masta, 1932, p.63",,
Ils fabriqueraient quelquechose (I),VTI,Wlitoakba,Verbe,"Laurent, 1884, p.71","Laurent, 1884, p.166",
Faites quelquechose (I),VTI;2;p;Impératif,Wlitokw,Verbe,"Laurent, 1884, p.194",,
Merci,NA,Wliwni,,"Laurent, 1884, p.94",,
Corde de cuire,NI,Wlogas,Nom;Objet,"Wz8khilain, 1830, p.48","Nolett-Ille, 1996, p.34",
Un gouvernail,NI,Wlokwahigan,Nom;Objet,"Day, 1994, p.407",,
Loutre,NA,Wnegigw,Nom;Animal;Mammifère,"Wz8khilain, 1830, p.49",,
"Petite bardane, Arctium lappa",NI,Wnibagw,Nom;Plante,"Rousseau, 1947, p. 45",,
Bracelet,NI,Wpedin8bi,Nom;Objet;Vêtement,"Laurent, 1884, p.27","Laurent, 1884, p.65",
C'est de la nourriture amère.,VII;3;s;présent,Wsagipogwat,Verbe,Charland,,
Lunettes,NI,Wsizekwaïganal,Nom;Objet;Vêtement,"Nolett-Ille, 1996, p.28",,
Os,NI,Wskan,Nom;Objet;Corps,"Wz8khilain, 1830, p.44",,
Peut-être,Particule,Wskebi,,"Nolett-Ille, 1996, p.37",,
"Neuf, Jeune",Adj,Wski,,"Wz8khilain, 1830, p.49",,
Sève,NI,Wskidakwam,Nom,Charland,,
C’est frais,VII,Wskigen,,"Day, 1994, p.510",,
"Dessus,Sur",Adv,Wskijiwi,Adverbe,"Laurent, 1884, p.89",,
Jeune homme,NA,Wskinnos,Nom;Personne,,,
Petit garçon,NA,Wskinnosis,Nom;Personne,"Laurent, 1884, p.21",,
"Pince, proue, le bout d'un canot",NI,Wskw8wla,Nom;Objet,"Aubéry, 1995, p.421",,
"Car, trop",Conjonction,Wz8mi,Conjonction,"Laurent, 1884, p.89",,
Queue,NID,Wzogna,Nom;Corps,"Aubéry, 1715, p.425",,
Qui roule,Racine,adb-,Racine,"Day, 1994, p.XXVI",,
Toujours (tout le temps),Adv,canne,,"Nolett-Ille, 1996, p.49",,
"Très lent, Très lentement",Particle,m8manni,,"Day, 1994, p.332","Nolett-Ille, 1996, p.3",
Personne commune,NA,nanihlaw8ba,,"Wz8khilain, 1830, p.33",,
Ceux qui sont vieux.,NA;Pluriel,neg8zoak,Nom;Personne,"Day, 1994, p.358",,
Quelqu’un qui fait quelque chose par profession.,Racine,noji-,Racine,"Day, 1994, p.LVI",,
"delai, pause, attendre.",VAI,pla,,"Day, 1994, p.90","Laurent, 1884, p.36",
Vie,NI,pm8wzow8gan,,"Day, 1994, p.98",,
Eau de pluie,NI,sogl8nbi,Nom;Objet,"Laurent, 1884, p.15",,
